Current,Voltage
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1604
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1604
0.0,4.1607
0.0,4.1604
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1604
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1604
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1604
0.0,4.1607
0.0,4.1604
0.0,4.1607
0.0,4.1607
0.0,4.1604
0.0,4.1604
0.0,4.1607
0.0,4.1607
0.0,4.1604
0.0,4.1607
0.0,4.1604
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1604
0.0,4.1604
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1607
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1607
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1607
0.0,4.1604
0.0,4.1607
0.0,4.1607
